"Buying   MaintenanceDoors    Person lug_bootsafety   class"
"vhigh   vhigh           4more    med     high   unacc"
"vhigh   vhigh           4more    big     low    unacc"
"vhigh   vhigh           4more    big     med    unacc"
"vhigh   vhigh           4more    big     high   unacc"
"vhigh   vhigh   5more           2small   low    unacc"
"vhigh   vhigh   5more           2small   med    unacc"
"vhigh   vhigh   5more           2small   high   unacc"
"vhigh   vhigh   5more           2med     low    unacc"
"vhigh   vhigh   5more           2med     med    unacc"
"vhigh   vhigh   5more           2med     high   unacc"
"vhigh   vhigh   5more           2big     low    unacc"
"vhigh   vhigh   5more           2big     med    unacc"
"vhigh   vhigh   5more           2big     high   unacc"
"vhigh   vhigh   5more           4small   low    unacc"
"vhigh   vhigh   5more           4small   med    unacc"
"vhigh   vhigh   5more           4small   high   unacc"
"vhigh   vhigh   5more           4med     low    unacc"
"vhigh   vhigh   5more           4med     med    unacc"
"vhigh   vhigh   5more           4med     high   unacc"
"vhigh   vhigh   5more           4big     low    unacc"
"vhigh   vhigh   5more           4big     med    unacc"
"vhigh   vhigh   5more           4big     high   unacc"
"vhigh   vhigh   5more    more    small   low    unacc"
"vhigh   vhigh   5more    more    small   med    unacc"
"vhigh   vhigh   5more    more    small   high   unacc"
"vhigh   vhigh   5more    more    med     low    unacc"
"vhigh   vhigh   5more    more    med     med    unacc"
"vhigh   vhigh   5more    more    med     high   unacc"
"vhigh   vhigh   5more    more    big     low    unacc"
"vhigh   vhigh   5more    more    big     med    unacc"
"vhigh   vhigh   5more    more    big     high   unacc"
"vhigh   high            2       2small   low    unacc"
"vhigh   high            2       2small   med    unacc"
"vhigh   high            2       2small   high   unacc"
"vhigh   high            2       2med     low    unacc"
"vhigh   high            2       2med     med    unacc"
"vhigh   high            2       2med     high   unacc"
"vhigh   high            2       2big     low    unacc"
"vhigh   high            2       2big     med    unacc"
"vhigh   high            2       2big     high   unacc"
"vhigh   high            2       4small   low    unacc"
"vhigh   high            2       4small   med    unacc"
"vhigh   high            2       4small   high   unacc"
"vhigh   high            2       4med     low    unacc"
"vhigh   high            2       4med     med    unacc"
"vhigh   high            2       4med     high   unacc"
"vhigh   high            2       4big     low    unacc"
"vhigh   high            2       4big     med    unacc"
"vhigh   high            2       4big     high   unacc"
"vhigh   high            2more    small   low    unacc"
"vhigh   high            2more    small   med    unacc"
"vhigh   high            2more    small   high   unacc"
"vhigh   high            2more    med     low    unacc"
"vhigh   high            2more    med     med    unacc"
"vhigh   high            2more    med     high   unacc"
"vhigh   high            2more    big     low    unacc"
"vhigh   high            2more    big     med    unacc"
"vhigh   high           2more    big     high   unacc"
"vhigh   high           3       2small   low    unacc"
"vhigh   high           3       2small   med    unacc"
"vhigh   high           3       2small   high   unacc"
"vhigh   high           3       2med     low    unacc"
"vhigh   high           3       2med     med    unacc"
"vhigh   high           3       2med     high   unacc"
"vhigh   high           3       2big     low    unacc"
"vhigh   high           3       2big     med    unacc"
"vhigh   high           3       2big     high   unacc"
"vhigh   high           3       4small   low    unacc"
"vhigh   high           3       4small   med    unacc"
"vhigh   high           3       4small   high   unacc"
"vhigh   high           3       4med     low    unacc"
"vhigh   high           3       4med     med    unacc"
"vhigh   high           3       4med     high   unacc"
"vhigh   high           3       4big     low    unacc"
"vhigh   high           3       4big     med    unacc"
"vhigh   high           3       4big     high   unacc"
"vhigh   high           3more    small   low    unacc"
"vhigh   high           3more    small   med    unacc"
"vhigh   high           3more    small   high   unacc"
"vhigh   high           3more    med     low    unacc"
"vhigh   high           3more    med     med    unacc"
"vhigh   high           3more    med     high   unacc"
"vhigh   high           3more    big     low    unacc"
"vhigh   high           3more    big     med    unacc"
"vhigh   high           3more    big     high   unacc"
"vhigh   high           4       2small   low    unacc"
"vhigh   high           4       2small   med    unacc"
"vhigh   high           4       2small   high   unacc"
"vhigh   high           4       2med     low    unacc"
"vhigh   high           4       2med     med    unacc"
"vhigh   high           4       2med     high   unacc"
"vhigh   high           4       2big     low    unacc"
"vhigh   high           4       2big     med    unacc"
"vhigh   high           4       2big     high   unacc"
"vhigh   high           4       4small   low    unacc"
"vhigh   high           4       4small   med    unacc"
"vhigh   high           4       4small   high   unacc"
"vhigh   high           4       4med     low    unacc"
"vhigh   high           4       4med     med    unacc"
"vhigh   high           4       4med     high   unacc"
"vhigh   high           4       4big     low    unacc"
"vhigh   high           4       4big     med    unacc"
"vhigh   high           4       4big     high   unacc"
"vhigh   high           4more    small   low    unacc"
"vhigh   high           4more    small   med    unacc"
"vhigh   high           4more    small   high   unacc"
"vhigh   high           4more    med     low    unacc"
"vhigh   high           4more    med     med    unacc"
"vhigh   high           4more    med     high   unacc"
"vhigh   high           4more    big     low    unacc"
"vhigh   high           4more    big     med    unacc"
"vhigh   high           4more    big     high   unacc"
"vhigh   high   5more           2small   low    unacc"
"vhigh   high   5more           2small   med    unacc"
"vhigh   high   5more           2small   high   unacc"
"vhigh   high   5more           2med     low    unacc"
"vhigh   high   5more           2med     med    unacc"
"vhigh   high   5more           2med     high   unacc"
"vhigh   high   5more           2big     low    unacc"
"vhigh   high   5more           2big     med    unacc"
"vhigh   high   5more           2big     high   unacc"
"vhigh   high   5more           4small   low    unacc"
"vhigh   high   5more           4small   med    unacc"
"vhigh   high   5more           4small   high   unacc"
"vhigh   high   5more           4med     low    unacc"
"vhigh   high   5more           4med     med    unacc"
"vhigh   high   5more           4med     high   unacc"
"vhigh   high   5more           4big     low    unacc"
"vhigh   high   5more           4big     med    unacc"
"vhigh   high   5more           4big     high   unacc"
"vhigh   high   5more    more    small   low    unacc"
"vhigh   high   5more    more    small   med    unacc"
"vhigh   high   5more    more    small   high   unacc"
"vhigh   high   5more    more    med     low    unacc"
"vhigh   high   5more    more    med     med    unacc"
"vhigh   high   5more    more    med     high   unacc"
"vhigh   high   5more    more    big     low    unacc"
"vhigh   high   5more    more    big     med    unacc"
"vhigh   high   5more    more    big     high   unacc"
"vhigh   med            2       2small   low    unacc"
"vhigh   med            2       2small   med    unacc"
"vhigh   med            2       2small   high   unacc"
"vhigh   med            2       2med     low    unacc"
"vhigh   med            2       2med     med    unacc"
"vhigh   med            2       2med     high   unacc"
"vhigh   med            2       2big     low    unacc"
"vhigh   med            2       2big     med    unacc"
"vhigh   med            2       2big     high   unacc"
"vhigh   med            2       4small   low    unacc"
"vhigh   med            2       4small   med    unacc"
"vhigh   med            2       4small   high   acc"
"vhigh   med            2       4med     low    unacc"
"vhigh   med            2       4med     med    unacc"
"vhigh   med            2       4med     high   acc"
"vhigh   med            2       4big     low    unacc"
"vhigh   med            2       4big     med    acc"
"vhigh   med            2       4big     high   acc"
"vhigh   med            2more    small   low    unacc"
"vhigh   med            2more    small   med    unacc"
"vhigh   med            2more    small   high   unacc"
"vhigh   med            2more    med     low    unacc"
"vhigh   med            2more    med     med    unacc"
"vhigh   med            2more    med     high   acc"
"vhigh   med            2more    big     low    unacc"
"vhigh   med            2more    big     med    acc"
"vhigh   med            2more    big     high   acc"
"vhigh   med            2more    big     med    acc"
"vhigh   med            2more    big     high   acc"
"vhigh   med            3       2small   low    unacc"
"vhigh   med            3       2small   med    unacc"
"vhigh   med            3       2small   high   unacc"
"vhigh   med            3       2med     low    unacc"
"vhigh   med            3       2med     med    unacc"
"vhigh   med            3       2med     high   unacc"
"vhigh   med            3       2big     low    unacc"
"vhigh   med            3       2big     med    unacc"
"vhigh   med            3       2big     high   unacc"
"vhigh   med            3       4small   low    unacc"
"vhigh   med            3       4small   med    unacc"
"vhigh   med            3       4small   high   acc"
"vhigh   med            3       4med     low    unacc"
"vhigh   med            3       4med     med    unacc"
"vhigh   med            3       4med     high   acc"
"vhigh   med            3       4big     low    unacc"
"vhigh   med            3       4big     med    acc"
"vhigh   med            3       4big     high   acc"
"vhigh   med            3more    small   low    unacc"
"vhigh   med            3more    small   med    unacc"
"vhigh   med            3more    small   high   acc"
"vhigh   med            3more    med     low    unacc"
"vhigh   med            3more    med     med    acc"
"vhigh   med            3more    med     high   acc"
"vhigh   med            3more    big     low    unacc"
"vhigh   med            3more    big     med    acc"
"vhigh   med            3more    big     high   acc"
"vhigh   med            4       2small   low    unacc"
"vhigh   med           4       2small   med    unacc"
"vhigh   med           4       2small   high   unacc"
"vhigh   med           4       2med     low    unacc"
"vhigh   med           4       2med     med    unacc"
"vhigh   med           4       2med     high   unacc"
"vhigh   med           4       2big     low    unacc"
"vhigh   med           4       2big     med    unacc"
"vhigh   med           4       2big     high   unacc"
"vhigh   med           4       4small   low    unacc"
"vhigh   med           4       4small   med    unacc"
"vhigh   med           4       4small   high   acc"
"vhigh   med           4       4med     low    unacc"
"vhigh   med           4       4med     med    acc"
"vhigh   med           4       4med     high   acc"
"vhigh   med           4       4big     low    unacc"
"vhigh   med           4       4big     med    acc"
"vhigh   med           4       4big     high   acc"
"vhigh   med           4more    small   low    unacc"
"vhigh   med           4more    small   med    unacc"
"vhigh   med           4more    small   high   acc"
"vhigh   med           4more    med     low    unacc"
"vhigh   med           4more    med     med    acc"
"vhigh   med           4more    med     high   acc"
"vhigh   med           4more    big     low    unacc"
"vhigh   med           4more    big     med    acc"
"vhigh   med           4more    big     high   acc"
"vhigh   med   5more           2small   low    unacc"
"vhigh   med   5more           2small   med    unacc"
"vhigh   med   5more           2small   high   unacc"
"vhigh   med   5more           2med     low    unacc"
"vhigh   med   5more           2med     med    unacc"
"vhigh   med   5more           2med     high   unacc"
"vhigh   med   5more           2big     low    unacc"
"vhigh   med   5more           2big     med    unacc"
"vhigh   med   5more           2big     high   unacc"
"vhigh   med   5more           4small   low    unacc"
"vhigh   med   5more           4small   med    unacc"
"vhigh   med   5more           4small   high   acc"
"vhigh   med   5more           4med     low    unacc"
"vhigh   med   5more           4med     med    acc"
"vhigh   med   5more           4med     high   acc"
"vhigh   med   5more           4big     low    unacc"
"vhigh   med   5more           4big     med    acc"
"vhigh   med   5more           4big     high   acc"
"vhigh   med   5more    more    small   low    unacc"
"vhigh   med   5more    more    small   med    unacc"
"vhigh   med   5more    more    small   high   acc"
"vhigh   med   5more    more    med     low    unacc"
"vhigh   med   5more    more    med     med    acc"
"vhigh   med   5more    more    med     high   acc"
"vhigh   med   5more    more    big     low    unacc"
"vhigh   med   5more    more    big     med    acc"
"vhigh   med   5more    more    big     high   acc"
"vhigh   low           2       2small   low    unacc"
"vhigh   low           2       2small   med    unacc"
"vhigh   low           2       2small   high   unacc"
"vhigh   low           2       2med     low    unacc"
"vhigh   low           2       2med     med    unacc"
"vhigh   low           2       2med     high   unacc"
"vhigh   low           2       2big     low    unacc"
"vhigh   low           2       2big     med    unacc"
"vhigh   low           2       2big     high   unacc"
"vhigh   low           2       4small   low    unacc"
"vhigh   low           2       4small   med    unacc"
"vhigh   low           2       4small   high   acc"
"vhigh   low           2       4small   high   acc"
"vhigh   low           2       4med     low    unacc"
"vhigh   low           2       4med     med    unacc"
"vhigh   low           2       4med     high   acc"
"vhigh   low           2       4med     high   acc"
"vhigh   low           2       4big     low    unacc"
"vhigh   low           2       4big     med    acc"
""
"vhigh   low           2       4big     high   acc"
"vhigh   low           2more    small   low    unacc"
"vhigh   low           2more    small   med    unacc"
"vhigh   low           2more    small   high   unacc"
"vhigh   low           2more    med     low    unacc"
"vhigh   low           2more    med     med    unacc"
"vhigh   low           2more    med     high   acc"
"vhigh   low           2more    big     low    unacc"
"vhigh   low           2more    big     med    acc"
"vhigh   low           2more    big     high   acc"
"vhigh   low           3       2small   low    unacc"
"vhigh   low           3       2small   med    unacc"
"vhigh   low           3       2small   high   unacc"
"vhigh   low           3       2med     low    unacc"
"vhigh   low           3       2med     med    unacc"
"vhigh   low           3       2med     high   unacc"
"vhigh   low           3       2big     low    unacc"
"vhigh   low           3       2big     med    unacc"
"vhigh   low           3       2big     high   unacc"
"vhigh   low           3       4small   low    unacc"
"vhigh   low           3       4small   med    unacc"
"vhigh   low           3       4small   high   acc"
"vhigh   low           3       4med     low    unacc"
"vhigh   low           3       4med     med    unacc"
"vhigh   low           3       4med     high   acc"
"vhigh   low           3       4big     low    unacc"
"vhigh   low           3       4big     med    acc"
"vhigh   low           3       4big     high   acc"
"vhigh   low           3more    small   low    unacc"
"vhigh   low           3more    small   med    unacc"
"vhigh   low           3more    small   high   acc"
"vhigh   low           3more    med     low    unacc"
"vhigh   low           3more    med     med    acc"
"vhigh   low           3more    med     med    acc"
"vhigh   low           3more    med     high   acc"
"vhigh   low           3more    big     low    unacc"
"vhigh   low           3more    big     med    acc"
"vhigh   low           3more    big     high   acc"
"vhigh   low           4       2small   low    unacc"
"vhigh   low           4       2small   med    unacc"
"vhigh   low           4       2small   high   unacc"
"vhigh   low           4       2med     low    unacc"
"vhigh   low           4       2med     med    unacc"
"vhigh   low           4       2med     high   unacc"
"vhigh   low           4       2big     low    unacc"
"vhigh   low           4       2big     med    unacc"
"vhigh   low           4       2big     high   unacc"
"vhigh   low           4       4small   low    unacc"
"vhigh   low           4       4small   med    unacc"
"vhigh   low           4       4small   high   acc"
"vhigh   low           4       4med     low    unacc"
"vhigh   low           4       4med     med    acc"
"vhigh   low           4       4med     high   acc"
"vhigh   low           4       4big     low    unacc"
"vhigh   low           4       4big     med    acc"
"vhigh   low           4       4big     high   acc"
"vhigh   low           4more    small   low    unacc"
"vhigh   low           4more    small   med    unacc"
"vhigh   low           4more    small   high   acc"
"vhigh   low           4more    med     low    unacc"
"vhigh   low           4more    med     med    acc"
"vhigh   low           4more    med     high   acc"
"vhigh   low           4more    big     low    unacc"
"vhigh   low           4more    big     med    acc"
"vhigh   low           4more    big     high   acc"
"vhigh   low   5more           2small   low    unacc"
"vhigh   low     5more           2small   med    unacc"
"vhigh   low     5more           2small   high   unacc"
"vhigh   low     5more           2med     low    unacc"
"vhigh   low     5more           2med     med    unacc"
""
"vhigh   low     5more           2med     high   unacc"
"vhigh   low     5more           2big     low    unacc"
"vhigh   low     5more           2big     med    unacc"
"vhigh   low     5more           2big     high   unacc"
"vhigh   low     5more           4small   low    unacc"
"vhigh   low     5more           4small   med    unacc"
"vhigh   low     5more           4small   high   acc"
"vhigh   low     5more           4med     low    unacc"
"vhigh   low     5more           4med     med    acc"
"vhigh   low     5more           4med     med    acc"
"vhigh   low     5more           4med     high   acc"
"vhigh   low     5more           4big     low    unacc"
"vhigh   low     5more           4big     med    acc"
"vhigh   low     5more           4big     high   acc"
"vhigh   low     5more    more    small   low    unacc"
"vhigh   low     5more    more    small   med    unacc"
"vhigh   low     5more    more    small   high   acc"
"vhigh   low     5more    more    med     low    unacc"
"vhigh   low     5more    more    med     med    acc"
"vhigh   low     5more    more    med     high   acc"
"vhigh   low     5more    more    big     low    unacc"
"vhigh   low     5more    more    big     med    acc"
"vhigh   low     5more    more    big     high   acc"
"high    vhigh           2       2small   low    unacc"
"high    vhigh           2       2small   med    unacc"
"high    vhigh           2       2small   high   unacc"
"high    vhigh           2       2med     low    unacc"
"high    vhigh           2       2med     med    unacc"
"high    vhigh           2       2med     high   unacc"
"high    vhigh           2       2big     low    unacc"
"high    vhigh           2       2big     med    unacc"
"high    vhigh           2       2big     high   unacc"
"high    vhigh           2       4small   low    unacc"
"high    vhigh           2       4small   med    unacc"
"high    vhigh           2       4small   high   unacc"
"high    vhigh           2       4med     low    unacc"
"high    vhigh           2       4med     med    unacc"
"high    vhigh           2       4med     high   unacc"
"high    vhigh           2       4big     low    unacc"
"high    vhigh           2       4big     med    unacc"
"high    vhigh           2       4big     high   unacc"
"high    vhigh           2more    small   low    unacc"
"high    vhigh           2more    small   med    unacc"
"high    vhigh           2more    small   high   unacc"
"high    vhigh           2more    med     low    unacc"
"high    vhigh           2more    med     med    unacc"
"high    vhigh           2more    med     high   unacc"
"high    vhigh           2more    big     low    unacc"
"high    vhigh           2more    big     med    unacc"
"high    vhigh           2more    big     high   unacc"
"high    vhigh           3       2small   low    unacc"
"high    vhigh           3       2small   med    unacc"
"high    vhigh           3       2small   high   unacc"
"high    vhigh           3       2med     low    unacc"
"high    vhigh           3       2med     med    unacc"
"high    vhigh           3       2med     high   unacc"
"high    vhigh           3       2big     low    unacc"
"high    vhigh           3       2big     med    unacc"
"high    vhigh           3       2big     high   unacc"
"high    vhigh           3       4small   low    unacc"
"high    vhigh           3       4small   med    unacc"
"high    vhigh           3       4small   high   unacc"
"high    vhigh           3       4med     low    unacc"
"high    vhigh           3       4med     med    unacc"
"high    vhigh           3       4med     high   unacc"
"high   vhigh           3       4big     low    unacc"
"high   vhigh           3       4big     med    unacc"
"high   vhigh           3       4big     high   unacc"
"high   vhigh           3more    small   low    unacc"
"high   vhigh           3more    small   med    unacc"
"high   vhigh           3more    small   high   unacc"
"high   vhigh           3more    med     low    unacc"
"high   vhigh           3more    med     med    unacc"
"high   vhigh           3more    med     high   unacc"
"high   vhigh           3more    big     low    unacc"
"high   vhigh           3more    big     med    unacc"
"high   vhigh           3more    big     high   unacc"
"high   vhigh           4       2small   low    unacc"
"high   vhigh           4       2small   med    unacc"
"high   vhigh           4       2small   high   unacc"
"high   vhigh           4       2med     low    unacc"
"high   vhigh           4       2med     med    unacc"
"high   vhigh           4       2med     high   unacc"
"high   vhigh           4       2big     low    unacc"
"high   vhigh           4       2big     med    unacc"
"high   vhigh           4       2big     high   unacc"
"high   vhigh           4       4small   low    unacc"
"high   vhigh           4       4small   med    unacc"
"high   vhigh           4       4small   high   unacc"
"high   vhigh           4       4med     low    unacc"
"high   vhigh           4       4med     med    unacc"
"high   vhigh           4       4med     high   unacc"
"high   vhigh           4       4big     low    unacc"
"high   vhigh           4       4big     med    unacc"
"high   vhigh           4       4big     high   unacc"
"high   vhigh           4more    small   low    unacc"
"high   vhigh           4more    small   med    unacc"
"high   vhigh           4more    small   high   unacc"
"high   vhigh           4more    med     low    unacc"
"high   vhigh           4more    med     med    unacc"
"high   vhigh           4more    med     high   unacc"
"high   vhigh           4more    big     low    unacc"
"high   vhigh           4more    big     med    unacc"
"high   vhigh           4more    big     high   unacc"
"high   vhigh   5more           2small   low    unacc"
"high   vhigh   5more           2small   med    unacc"
"high   vhigh   5more           2small   high   unacc"
"high   vhigh   5more           2med     low    unacc"
"high   vhigh   5more           2med     med    unacc"
"high   vhigh   5more           2med     high   unacc"
"high   vhigh   5more           2big     low    unacc"
"high   vhigh   5more           2big     med    unacc"
"high   vhigh   5more           2big     high   unacc"
"high   vhigh   5more           4small   low    unacc"
"high   vhigh   5more           4small   med    unacc"
"high   vhigh   5more           4small   high   unacc"
"high   vhigh   5more           4med     low    unacc"
"high   vhigh   5more           4med     med    unacc"
"high   vhigh   5more           4med     high   unacc"
"high   vhigh   5more           4big     low    unacc"
"high   vhigh   5more           4big     med    unacc"
"high   vhigh   5more           4big     high   unacc"
"high   vhigh   5more    more    small   low    unacc"
"high   vhigh   5more    more    small   med    unacc"
"high   vhigh   5more    more    small   high   unacc"
"high   vhigh   5more    more    med     low    unacc"
"high   vhigh   5more    more    med     med    unacc"
"high   vhigh   5more    more    med     high   unacc"
"high   vhigh   5more    more    big     low    unacc"
"high   vhigh   5more    more    big     med    unacc"
"high   vhigh   5more    more    big     high   unacc"
"high   high            2       2small   low    unacc"
"high   high            2       2small   med    unacc"
"high   high            2       2small   high   unacc"
"high   high            2       2med     low    unacc"
"high   high   2       2med     med    unacc"
"high   high   2       2med     high   unacc"
"high   high   2       2big     low    unacc"
"high   high   2       2big     med    unacc"
"high   high   2       2big     high   unacc"
"high   high   2       4small   low    unacc"
"high   high   2       4small   med    unacc"
"high   high   2       4small   high   acc"
"high   high   2       4med     low    unacc"
"high   high   2       4med     med    unacc"
"high   high   2       4med     high   acc"
"high   high   2       4big     low    unacc"
"high   high   2       4big     med    acc"
"high   high   2       4big     high   acc"
"high   high   2more    small   low    unacc"
"high   high   2more    small   med    unacc"
"high   high   2more    small   high   unacc"
"high   high   2more    med     low    unacc"
"high   high   2more    med     med    unacc"
"high   high   2more    med     high   acc"
"high   high   2more    big     low    unacc"
"high   high   2more    big     med    acc"
"high   high   2more    big     high   acc"
"high   high   3       2small   low    unacc"
"high   high   3       2small   med    unacc"
"high   high   3       2small   high   unacc"
"high   high   3       2med     low    unacc"
"high   high   3       2med     med    unacc"
"high   high   3       2med     high   unacc"
"high   high   3       2big     low    unacc"
"high   high   3       2big     med    unacc"
"high   high   3       2big     high   unacc"
"high   high   3       4small   low    unacc"
"high   high   3       4small   med    unacc"
"high   high   3       4small   high   acc"
"high   high   3       4med     low    unacc"
"high   high   3       4med     med    unacc"
"high   high   3       4med     high   acc"
"high   high   3       4big     low    unacc"
"high   high   3       4big     med    acc"
"high   high   3       4big     high   acc"
"high   high   3more    small   low    unacc"
"high   high   3more    small   med    unacc"
"high   high   3more    small   high   acc"
"high   high   3more    med     low    unacc"
"high   high   3more    med     med    acc"
"high   high   3more    med     high   acc"
"high   high   3more    big     low    unacc"
"high   high   3more    big     med    acc"
"high   high   3more    big     high   acc"
"high   high   4       2small   low    unacc"
"high   high   4       2small   med    unacc"
"high   high   4       2small   high   unacc"
"high   high   4       2med     low    unacc"
"high   high   4       2med     med    unacc"
"high   high   4       2med     high   unacc"
"high   high   4       2big     low    unacc"
"high   high   4       2big     med    unacc"
"high   high   4       2big     high   unacc"
"high   high   4       4small   low    unacc"
"high   high   4       4small   med    unacc"
"high   high   4       4small   high   acc"
"high   high   4       4med     low    unacc"
"high   high   4       4med     med    acc"
"high   high   4       4med     high   acc"
"high   high   4       4big     low    unacc"
"high   high   4       4big     med    acc"
"high   high   4       4big     high   acc"
"high   high   4more    small   low    unacc"
"high   high   4more    small   med    unacc"
"high   high           4more    small   high   acc"
"high   high           4more    med     low    unacc"
"high   high           4more    med     med    acc"
"high   high           4more    med     high   acc"
"high   high           4more    big     low    unacc"
"high   high           4more    big     med    acc"
"high   high           4more    big     high   acc"
"high   high   5more           2small   low    unacc"
"high   high   5more           2small   med    unacc"
"high   high   5more           2small   high   unacc"
"high   high   5more           2med     low    unacc"
"high   high   5more           2med     med    unacc"
"high   high   5more           2med     high   unacc"
"high   high   5more           2big     low    unacc"
"high   high   5more           2big     med    unacc"
"high   high   5more           2big     high   unacc"
"high   high   5more           4small   low    unacc"
"high   high   5more           4small   med    unacc"
"high   high   5more           4small   high   acc"
"high   high   5more           4med     low    unacc"
"high   high   5more           4med     med    acc"
"high   high   5more           4med     high   acc"
"high   high   5more           4big     low    unacc"
"high   high   5more           4big     med    acc"
"high   high   5more           4big     high   acc"
"high   high   5more    more    small   low    unacc"
"high   high   5more    more    small   med    unacc"
"high   high   5more    more    small   high   acc"
"high   high   5more    more    med     low    unacc"
"high   high   5more    more    med     med    acc"
"high   high   5more    more    med     high   acc"
"high   high   5more    more    big     low    unacc"
"high   high   5more    more    big     med    acc"
"high   high   5more    more    big     high   acc"
"high   med            2       2small   low    unacc"
"high   med            2       2small   med    unacc"
"high   med            2       2small   high   unacc"
"high   med            2       2med     low    unacc"
"high   med            2       2med     med    unacc"
"high   med            2       2med     high   unacc"
"high   med            2       2big     low    unacc"
"high   med            2       2big     med    unacc"
"high   med            2       2big     high   unacc"
"high   med            2       4small   low    unacc"
"high   med            2       4small   med    unacc"
"high   med            2       4small   high   acc"
"high   med            2       4med     low    unacc"
"high   med            2       4med     med    unacc"
"high   med            2       4med     high   acc"
"high   med            2       4big     low    unacc"
"high   med            2       4big     med    acc"
"high   med            2       4big     high   acc"
"high   med            2more    small   low    unacc"
"high   med            2more    small   med    unacc"
"high   med            2more    small   high   unacc"
"high   med            2more    med     low    unacc"
"high   med            2more    med     med    unacc"
"high   med            2more    med     high   acc"
"high   med            2more    big     low    unacc"
"high   med            2more    big     med    acc"
"high   med            2more    big     high   acc"
"high   med            3       2small   low    unacc"
"high   med            3       2small   med    unacc"
"high   med            3       2small   high   unacc"
"high   med            3       2med     low    unacc"
"high   med            3       2med     med    unacc"
"high   med            3       2med     high   unacc"
"high   med            3       2big     low    unacc"
"high   med            3       2big     med    unacc"
"high   med            3       2big     high   unacc"
"high   med           3       4small   low    unacc"
"high   med           3       4small   med    unacc"
"high   med           3       4small   high   acc"
"high   med           3       4med     low    unacc"
